SMILES,Bi Basic,Bi Acidic,Bioavailability
CC(C)N(CCC(c1ccccc1)c2ccccc2)C(C)C,1,0,1.0
CC(C)N(CC[C@@H](c1ccccc1)c2cc(C)ccc2O)C(C)C,1,1,1.0
CC(C)N1C(=O)N=C(c2ccccc2)c3ccc(C)cc13,1,0,1.0
CC(C)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4cncn4)(O3)c5ccc(Cl)cc5Cl)cc2,1,0,0.0
CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1,1,0,1.0
CC(C)N=C1C=C2N(c3ccc(Cl)cc3)c4ccccc4N=C2C=C1Nc5ccc(Cl)cc5,1,0,1.0
CC(C)NC(=O)N[S](=O)(=O)c1cnccc1Nc2cccc(C)c2,1,1,1.0
CC(C)NCC(O)COc1cc(C)c(OC(C)=O)c(C)c1C,1,1,1.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,1,1,1.0
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,1,1,1.0
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,1,1,1.0
CC(C)NCC(O)COc1cccc2[nH]ccc12,1,1,1.0
CC(C)NCC(O)COc1cccc2ccccc12,1,1,1.0
CC(C)NCC(O)c1cc(O)cc(O)c1,1,1,1.0
CC(C)NCC(O)c1ccc(N[S](C)(=O)=O)cc1,1,1,1.0
CC(C)NCC(O)c1ccc(O)c(O)c1,1,1,1.0
CC(C)NCC1CCc2cc(CO)c(cc2N1)[N+]([O-])=O,1,1,1.0
CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,1,1,1.0
CC(C)NC[C@H](O)COc1ccc(NC(C)=O)cc1,1,1,1.0
CC(C)NC[C@H](O)COc1ccc(O)cc1,1,1,1.0
CC(C)NNC(=O)COc1ccc(Cl)cc1,1,1,1.0
CC(C)NNC(=O)c1ccncc1,1,1,1.0
CC(C)Nc1cccnc1N2CCN(CC2)C(=O)c3[nH]c4ccc(N[S](C)(=O)=O)cc4c3,1,1,1.0
CC(C)O,0,1,1.0
CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c2ccc(Cl)cc2,0,0,1.0
CC(C)OC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+]([O-])=O)C(=O)OC3CN(C3)C(c4ccccc4)c5ccccc5)N,1,0,0.0
CC(C)OC(=O)CCC/C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc2ccccc2,0,1,1.0
CC(C)OC(=O)Nc1ccc2nc([nH]c2c1)c3cscn3,1,1,1.0
CC(C)OC(=O)OCO[P](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc12)OCOC(=O)OC(C)C,1,0,0.0
CC(C)O[P](C)(=O)OC(C)C,0,0,1.0
CC(C)O[P](F)(=O)OC(C)C,0,0,1.0
CC(C)Oc1ccc2c(OC=C(C2=O)c3ccccc3)c1,0,0,1.0
CC(C)[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O,1,1,0.0
CC(C)[C@@H]1N2C(=O)[C@](NC(=O)[C@@H]3C[C@H]4[C@@H](Cc5c[nH]c6cccc4c56)N(C)C3)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C,1,1,1.0
CC(C)[C@@H]1NC(=O)[C@H](C)OC(=O)C(NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC(=O)[C@@H](NC(=O)[C@H](C)OC(=O)[C@H](NC(=O)[C@H](OC1=O)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C)C(C)C,1,1,0.0
CC(C)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@H](Cc5ccccc5)N(C)C(=O)[C@H](CCSCC(=O)NC[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCCN)C(N)=O)NC1=O,1,1,0.0
CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c3ncn(C(C)C)c3n1,1,1,1.0
CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2C(=O)N=C(N)Nc12,1,1,1.0
CC(C)[C@H](N)C(=O)OCCOCn1cnc2C(=O)N=C(N)Nc12,1,1,1.0
CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)COc3c(C)cccc3C)Cc4ccccc4,1,1,0.0
CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc3scnc3)Cc4ccccc4,1,1,0.0
CC(C)[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)N[C@@H](Cc1ccccc1)C(O)=O)C(=O)N[C@@H](CCCN=C(N)N)C=O,1,1,0.0
CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)c3c(C)cc4c(C(C)C)c(O)c(O)c(C=O)c4c3O,0,1,0.0
CC(C)c1cc(OC(C)=O)c(C)cc1OCCN(C)C,1,0,1.0
CC(C)c1cc2CC[C@H]3[C@@](C)(CCC[C@]3(C)c2cc1[S](O)(=O)=O)C(O)=O,0,1,1.0
CC(C)c1ccc(C)cc1O,0,1,1.0
CC(C)c1ccc(C)cc1OCC2=NCCN2,1,0,1.0
CC(C)c1ccc(N)cc1,1,0,1.0
CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(O)=O,1,1,1.0
CC(C)c1cccc(C(C)C)c1O,0,1,1.0
CC(C)c1n(CC[C@@H](O)C[C@@H](O)CC(O)=O)c(c2ccc(F)cc2)c(c3ccccc3)c1C(=O)Nc4ccccc4,1,1,0.0
CC(C)c1nnc(C)n1C2C[C@H]3CC[C@@H](C2)N3CC[C@H](NC(=O)C4CCC(F)(F)CC4)c5ccccc5,1,1,1.0
CC(CCc1ccc(O)cc1)NCCc2ccc(O)c(O)c2,1,1,1.0
CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(N)=O,1,1,1.0
CC(CN(C(C)=O)c1c(I)cc(I)c(N)c1I)C(O)=O,1,1,1.0
CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,1,1,1.0
CC(CN(C)C)CN1c2ccccc2CCc3ccccc13,1,0,1.0
CC(CN(C)C)CN1c2ccccc2Sc3ccc(cc13)C#N,1,0,1.0
CC(CN(C)C)CN1c2ccccc2Sc3ccccc13,1,0,1.0
CC(CN1CCCCC1)C(=O)c2ccc(C)cc2,1,0,1.0
CC(CN1CCN(CCOCCO)CC1)CN2c3ccccc3Sc4ccccc24,1,1,1.0
CC(CN1CCOCC1)C(C(=O)N2CCCC2)(c3ccccc3)c4ccccc4,1,0,1.0
CC(CN1c2ccccc2Sc3ccc(cc13)C(C)=O)N(C)C,1,0,1.0
CC(CN1c2ccccc2Sc3ccccc13)N(C)C,1,0,1.0
CC(CN1c2ccccc2Sc3cccnc13)N(C)C,1,0,1.0
CC(COc1ccccc1)N(CCCl)Cc2ccccc2,1,0,1.0
CC(COc1ccccc1)NC(C)C(O)c2ccc(O)cc2,1,1,1.0
CC(COc1ccccc1Cc2ccccc2)N3CCCCC3,1,0,1.0
CC(Cc1ccccc1)N(C)Cc2ccccc2,1,0,1.0
CC(Cc1ccccc1)N=CC(Cl)(Cl)Cl,1,0,1.0
CC(Cc1ccccc1)NCCC#N,1,0,1.0
CC(Cc1ccccc1)NN,1,0,1.0
CC(N(O)C(N)=O)c1sc2ccccc2c1,1,1,1.0
CC(N)C(=O)Nc1c(C)cccc1C,1,1,1.0
CC(N)C12CC3CC(CC(C3)C1)C2,1,0,1.0
CC(N)Cc1ccccc1,1,0,1.0
